UNIQUE-ID	NAME
TU305	['ychQA', 'kdsA']
TU0-13392	ydjE
TU0-14161	qorB
TU0-14610	yafZ
TU0-13052	ybiJ
TU0-7	tsr
TU0-45178	galE
TU00097	['appCBA', 'yccB']
TU0-13451	pgsA
TU0-13675	['rluD', 'pgeF']
TU0-14680	gpt
TU0-42486	thrL
TU0-7806	hemL
TU0-8698	ydbJ
TU00155	proP
TU00484	pyrLBI
TU0-13738	queF
TU0-14073	fdhD
TU0-42577	grcA
TU0-12975	['ybcN', 'ninE', 'ybcO', 'rusA', 'ylcG']
TU182	fimAICDFGH
TU876	['dam', 'rpe', 'gph', 'trpS']
TU0-14143	epmB
TU0-13375	ppsR
TU0-13036	lysQ
TU0-14558	['casDE', 'ygbTF']
TU0-13434	['yobB', 'exoX']
TU0-6821	cstA
TU0-14661	['yheO', 'tusDCB']
TU00081	ilvIH
TU0-7662	yhhY
TU0-13657	trmJ
TU00138	aldB
TU0-42466	sdiA
TU0-13721	ygbJK
TU0-8681	yccX
TU0-42549	feaR
TU00468	['dcuB', 'fumB']
TU00524	['sdhCDAB', 'sucABCD', 'sdhX']
TU0-14056	['pepQ', 'yigZ', 'trkH', 'hemG']
TU0-14125	yjcF
TU0-12957	fetAB
TU0-13018	miaB
TU801	['yjeFE', 'amiB', 'mutL', 'miaA', 'hfq', 'hflXKC']
TU0-13418	pdeD
TU0-13359	mepH
TU0-14640	glk
TU0-14533	['rrlA', 'rrfA']
TU0-7341	rpiA
TU0-6647	dnaQ
TU00122	glgCAP
TU00065	ssb
TU0-13702	ypjB
TU0-13639	nudK
TU0-42525	frr
TU0-4242	yghF
TU0-8723	yegH
TU0-8662	ytfA
TU00508	serW
TU00450	tsx
TU0-14107	yjbB
TU0-14040	yifK
TU0-13002	ybeM
TU0-12938	ffs
TU0-13402	dgcJ
TU743	['rpmH', 'rnpA']
TU0-14618	['ltaE', 'ybjT']
TU0-13342	ydgD
TU0-7081	galP
TU0-14514	csgC
TU00106	gltA
TU0-6569	ansB
TU0-13685	['ratA', 'yfjF']
TU00049	ompC
TU0-42501	bluF
TU0-13622	cysZ
TU0-8706	ydeJ
TU0-4184	lpxD
TU00492	['lysT', 'valT', 'lysW']
TU0-8645	yoaH
TU0-14082	yiiR
TU00433	uspA
TU0-12985	ybdG
TU0-14022	mdtL
TU0-13383	hxpB
TU0-12918	['brnQ', 'proY']
TU0-14571	['yjjQ', 'bglJ']
TU65	nac
TU0-6885	['yhfG', 'fic', 'pabA']
TU0-13325	relBE
TU00089	glnB
TU0-14492	dcd
TU0-13666	glmY
TU0-6511	rep
TU0-42477	leuO
TU00033	ilvY
TU0-8689	ychH
TU0-13605	yfdRST
TU00476	ompC
TU0-4021	pdeR
TU0-14065	yihPO
TU0-8628	yjjN
TU0-12966	sfmA
TU00416	gltA
TU866	phoH
TU0-14007	selC
TU0-13367	rydB
TU0-12897	yahM
TU0-14547	alsBACE
TU562	pqiABC
TU0-6657	rplT
TU0-13307	mgtS
TU00073	alkB
TU0-14469	ygbF
TU0-13648	yfgHI
TU0-6444	pgi
TU0-42457	csrA
TU00017	deoCABD
TU0-8672	ybjM
TU0-13588	yfcG
TU00459	emrRAB
TU0-36440	plsB
TU0-14048	rhtC
TU0-8610	yjeH
TU0-12946	ybaN
TU00399	yjaZ
TU790	['mlc', 'ynfK']
TU0-13992	yibIH
TU0-13351	blr
TU0-12881	ykgMO
TU0-14524	['rrlH', 'rrfH']
TU0-13290	yddAB
TU0-6626	['pheMST', 'ihfA']
TU0-14445	['ftsLI', 'murEF', 'mraY', 'murD', 'ftsW', 'murGC', 'ddlB', 'ftsQAZ', 'lpxC']
TU00057	purL
TU0-6362	ytfJ
TU0-13630	yffMN
TU0-14433	gadXW
TU0-4201	['hemA', 'prfA', 'prmC']
TU0-6281	['btuB', 'murI']
TU0-8653	yqgC
TU0-963	mpl
TU00442	rpoS
TU0-13569	arnBCADTEF
TU0-14031	['ravA', 'viaA']
TU0-36412	['pcnB', 'folk']
TU0-12928	tig
TU0-8590	wecH
TU685	nikR
TU00380	pflB
TU0-13333	['rspA', 'rspB']
TU0-13972	bcsEFG
TU0-14502	fucR
TU0-6553	lysC
TU0-13269	ortT
TU00041	metA
TU0-14408	pdeL
